URL,MatchDateTime,Station,Show,IAShowID,IAPreviewThumb,Snippet
https://archive.org/details/FOXNEWSW_20120727_100000_FOX_and_Friends#start/1896/end/1931,7/27/2012 10:31:51,FOXNEWS,FOX and Friends,FOXNEWSW_20120727_100000_FOX_and_Friends,https://archive.org/download/FOXNEWSW_20120727_100000_FOX_and_Friends/FOXNEWSW_20120727_100000_FOX_and_Friends.thumbs/FOXNEWSW_20120727_100000_FOX_and_Friends_001890.jpg,"mondays. that's right. because the production of meat bad for the environment. in the newsletter at the united states department of agriculture, don't eat meat on monday because going meatless is good for the environment because animal agriculture is a major source of greenhouse gases and"
https://archive.org/details/FOXNEWSW_20120726_220000_Special_Report_With_Bret_Baier#start/1870/end/1905,7/26/2012 22:31:25,FOXNEWS,Special Report With Bret Baier,FOXNEWSW_20120726_220000_Special_Report_With_Bret_Baier,https://archive.org/download/FOXNEWSW_20120726_220000_Special_Report_With_Bret_Baier/FOXNEWSW_20120726_220000_Special_Report_With_Bret_Baier.thumbs/FOXNEWSW_20120726_220000_Special_Report_With_Bret_Baier_001860.jpg,"images sew show unprecedented ice melt in greenland. the left is july 8, the right is four days later. cysts say it cannot be contributed to global warming"
https://archive.org/details/FOXNEWSW_20120729_100000_FOX_and_Friends_Sunday#start/11691/end/11726,7/29/2012 13:15:06,FOXNEWS,FOX and Friends Sunday,FOXNEWSW_20120729_100000_FOX_and_Friends_Sunday,https://archive.org/download/FOXNEWSW_20120729_100000_FOX_and_Friends_Sunday/FOXNEWSW_20120729_100000_FOX_and_Friends_Sunday.thumbs/FOXNEWSW_20120729_100000_FOX_and_Friends_Sunday_011610.jpg,"fred, you should look into it. i'm a risk-taker. [ female announcer ] only flood insurance covers floods. visit floodsmart.gov/risk to learn your risk. alisyn: a dire warning on global warming in greenland,"
https://archive.org/details/FOXNEWSW_20120703_010000_Hannity#start/543/end/578,7/3/2012 1:09:18,FOXNEWS,Hannity,FOXNEWSW_20120703_010000_Hannity,https://archive.org/download/FOXNEWSW_20120703_010000_Hannity/FOXNEWSW_20120703_010000_Hannity.thumbs/FOXNEWSW_20120703_010000_Hannity_000540.jpg,"recession. that's apparently not the case. hillary clinton in rio recently, gave away $2 billion for climate change. what's that about? the obama administration is filled with these issues that we think have been put to bed, like gun control and climate change,"
https://archive.org/details/FOXNEWSW_20120703_040000_Hannity#start/543/end/578,7/3/2012 4:09:18,FOXNEWS,Hannity,FOXNEWSW_20120703_040000_Hannity,https://archive.org/download/FOXNEWSW_20120703_040000_Hannity/FOXNEWSW_20120703_040000_Hannity.thumbs/FOXNEWSW_20120703_040000_Hannity_000540.jpg,"recession. that's apparently not the case. hillary clinton in rio recently, gave away $2 billion for climate change. what's that about? the obama administration is filled with these issues that we think have been put to bed, like gun control and climate change,"
https://archive.org/details/FOXNEWSW_20120727_100000_FOX_and_Friends#start/5459/end/5494,7/27/2012 11:31:14,FOXNEWS,FOX and Friends,FOXNEWSW_20120727_100000_FOX_and_Friends,https://archive.org/download/FOXNEWSW_20120727_100000_FOX_and_Friends/FOXNEWSW_20120727_100000_FOX_and_Friends.thumbs/FOXNEWSW_20120727_100000_FOX_and_Friends_005460.jpg,"usda in the business of dissing farmers and saying not to eat meat? isn't that more -- if they want to talk to global warming that they were alluding to and greenhouse gases, why isn't that the pursue of the epa so peta took up this fight and peta after grassley posted that"
https://archive.org/details/FOXNEWSW_20120727_060000_The_Five#start/2599/end/2634,7/27/2012 6:43:34,FOXNEWS,The Five,FOXNEWSW_20120727_060000_The_Five,https://archive.org/download/FOXNEWSW_20120727_060000_The_Five/FOXNEWSW_20120727_060000_The_Five.thumbs/FOXNEWSW_20120727_060000_The_Five_002580.jpg,"are feed and transportation costs and -- i'm saying i went to speak to them and i've never seen a happier group. i spoke to the cattlemen association and you're not speaking out? i said those -- i said it was a bad idea but global warming is"
https://archive.org/details/FOXNEWSW_20120726_210000_The_Five#start/2600/end/2635,7/26/2012 21:43:35,FOXNEWS,The Five,FOXNEWSW_20120726_210000_The_Five,https://archive.org/download/FOXNEWSW_20120726_210000_The_Five/FOXNEWSW_20120726_210000_The_Five.thumbs/FOXNEWSW_20120726_210000_The_Five_002580.jpg,"are feed and transportation costs and -- i'm saying i went to speak to them and i've never seen a happier group. i spoke to the cattlemen association and you're not speaking out? i said those -- i said it was a bad idea but global warming is"
https://archive.org/details/FOXNEWSW_20120703_200000_Your_World_With_Neil_Cavuto#start/3137/end/3172,7/3/2012 20:52:32,FOXNEWS,Your World With Neil Cavuto,FOXNEWSW_20120703_200000_Your_World_With_Neil_Cavuto,https://archive.org/download/FOXNEWSW_20120703_200000_Your_World_With_Neil_Cavuto/FOXNEWSW_20120703_200000_Your_World_With_Neil_Cavuto.thumbs/FOXNEWSW_20120703_200000_Your_World_With_Neil_Cavuto_003120.jpg,"because superstition has taken hold. neil: you're right, you hit on -- you hit on a brilliant point. you can make a point to always -- if it's cold, it's climate change. if it's warm, it's climate"
https://archive.org/details/FOXNEWSW_20120706_200000_Your_World_With_Neil_Cavuto#start/1491/end/1526,7/6/2012 20:25:06,FOXNEWS,Your World With Neil Cavuto,FOXNEWSW_20120706_200000_Your_World_With_Neil_Cavuto,https://archive.org/download/FOXNEWSW_20120706_200000_Your_World_With_Neil_Cavuto/FOXNEWSW_20120706_200000_Your_World_With_Neil_Cavuto.thumbs/FOXNEWSW_20120706_200000_Your_World_With_Neil_Cavuto_001470.jpg,"carbon tax to raise $250 billion to fight global warming and help developing countries. the perversion is they're going to help the developing world, 1.6 billion, help them not to"
