URL,MatchDateTime,Station,Show,IAShowID,IAPreviewThumb,Snippet
https://archive.org/details/MSNBCW_20150803_200000_NOW_With_Alex_Wagner#start/32/end/67,8/3/2015 20:00:47,MSNBC,NOW With Alex Wagner,MSNBCW_20150803_200000_NOW_With_Alex_Wagner,https://archive.org/download/MSNBCW_20150803_200000_NOW_With_Alex_Wagner/MSNBCW_20150803_200000_NOW_With_Alex_Wagner.thumbs/MSNBCW_20150803_200000_NOW_With_Alex_Wagner_000045.jpg,"u.s. action ever taken to combat climate change and the clean power unveiled is also a major part of his legacy. announcing new regulations to cut greenhouse gas emissions,"
https://archive.org/details/MSNBCW_20150812_030000_All_In_With_Chris_Hayes#start/2511/end/2546,8/12/2015 3:42:06,MSNBC,All In With Chris Hayes,MSNBCW_20150812_030000_All_In_With_Chris_Hayes,https://archive.org/download/MSNBCW_20150812_030000_All_In_With_Chris_Hayes/MSNBCW_20150812_030000_All_In_With_Chris_Hayes.thumbs/MSNBCW_20150812_030000_All_In_With_Chris_Hayes_002506.jpg,"we would see how climate change -- we will not have climate change legislation in the united states until we fix this issue. if you're talking about how terrible it is the oceans are rising or that bangladesh will disappear, we will not solve global warming."
https://archive.org/details/MSNBCW_20150831_100000_Morning_Joe#start/5307/end/5342,8/31/2015 11:28:42,MSNBC,Morning Joe,MSNBCW_20150831_100000_Morning_Joe,https://archive.org/download/MSNBCW_20150831_100000_Morning_Joe/MSNBCW_20150831_100000_Morning_Joe.thumbs/MSNBCW_20150831_100000_Morning_Joe_005295.jpg,"a sign of american imperialism, taking this name away from native alaskans. but the president wants to come here and focus on climate change and his message is going to be that we're at a critical turning point in the fight against global warming."
https://archive.org/details/MSNBCW_20150804_030000_All_In_With_Chris_Hayes#start/1388/end/1423,8/4/2015 3:23:23,MSNBC,All In With Chris Hayes,MSNBCW_20150804_030000_All_In_With_Chris_Hayes,https://archive.org/download/MSNBCW_20150804_030000_All_In_With_Chris_Hayes/MSNBCW_20150804_030000_All_In_With_Chris_Hayes.thumbs/MSNBCW_20150804_030000_All_In_With_Chris_Hayes_001366.jpg,"but getting that invasion means fixing the economics making it so that the competing fuels can compete against the incumbent fuels. and that's a problem with economics. is that a carbon tax? what is that? yes, a revenue neutral carbon tax."
https://archive.org/details/MSNBCW_20150804_070000_All_In_With_Chris_Hayes#start/900/end/935,8/4/2015 7:15:15,MSNBC,All In With Chris Hayes,MSNBCW_20150804_070000_All_In_With_Chris_Hayes,https://archive.org/download/MSNBCW_20150804_070000_All_In_With_Chris_Hayes/MSNBCW_20150804_070000_All_In_With_Chris_Hayes.thumbs/MSNBCW_20150804_070000_All_In_With_Chris_Hayes_000886.jpg,"of insurance. it's a sensational plot twist. jonathan, always good to see you. thank you for your time. coming up, president obama, addressing global warming."
https://archive.org/details/MSNBCW_20150803_170000_MSNBC_Live_With_Thomas_Roberts#start/5906/end/5941,8/3/2015 18:38:41,MSNBC,MSNBC Live With Thomas Roberts,MSNBCW_20150803_170000_MSNBC_Live_With_Thomas_Roberts,https://archive.org/download/MSNBCW_20150803_170000_MSNBC_Live_With_Thomas_Roberts/MSNBCW_20150803_170000_MSNBC_Live_With_Thomas_Roberts.thumbs/MSNBCW_20150803_170000_MSNBC_Live_With_Thomas_Roberts_005896.jpg,"country will change the warming of the planet on its own. but today with america leading the way, countries representing 70% of the carbon pollution from the world's energy sector have announced plans to cut their greenhouse gas emissions."
https://archive.org/details/MSNBCW_20150804_000000_All_In_With_Chris_Hayes#start/1399/end/1434,8/4/2015 0:23:34,MSNBC,All In With Chris Hayes,MSNBCW_20150804_000000_All_In_With_Chris_Hayes,https://archive.org/download/MSNBCW_20150804_000000_All_In_With_Chris_Hayes/MSNBCW_20150804_000000_All_In_With_Chris_Hayes.thumbs/MSNBCW_20150804_000000_All_In_With_Chris_Hayes_001395.jpg,"so that the competing fuels can compete against the incumbent fuels. and that's a problem with economics. is that a carbon tax? yes, a revenue neutral carbon"
https://archive.org/details/MSNBCW_20150804_070000_All_In_With_Chris_Hayes#start/1366/end/1401,8/4/2015 7:23:01,MSNBC,All In With Chris Hayes,MSNBCW_20150804_070000_All_In_With_Chris_Hayes,https://archive.org/download/MSNBCW_20150804_070000_All_In_With_Chris_Hayes/MSNBCW_20150804_070000_All_In_With_Chris_Hayes.thumbs/MSNBCW_20150804_070000_All_In_With_Chris_Hayes_001366.jpg,"fixing the economics making it so that the competing fuels can compete against the incumbent fuels. and that's a problem with economics. is that a carbon tax? yes, a revenue neutral carbon"
https://archive.org/details/MSNBCW_20150819_030000_All_In_With_Chris_Hayes#start/1033/end/1068,8/19/2015 3:17:28,MSNBC,All In With Chris Hayes,MSNBCW_20150819_030000_All_In_With_Chris_Hayes,https://archive.org/download/MSNBCW_20150819_030000_All_In_With_Chris_Hayes/MSNBCW_20150819_030000_All_In_With_Chris_Hayes.thumbs/MSNBCW_20150819_030000_All_In_With_Chris_Hayes_001006.jpg,"word the rest of us know as huge. well, first of all, i'm a yuge second amendment. yge issue. clean air. that's a yuge issue. i'm not a yuge believer in global warming."
https://archive.org/details/MSNBCW_20150817_190000_MSNBC_Live#start/3354/end/3389,8/17/2015 19:56:09,MSNBC,MSNBC Live,MSNBCW_20150817_190000_MSNBC_Live,https://archive.org/download/MSNBCW_20150817_190000_MSNBC_Live/MSNBCW_20150817_190000_MSNBC_Live.thumbs/MSNBCW_20150817_190000_MSNBC_Live_003345.jpg,"to having the candidates come on and talk about these issues. and as one of the people who is calling for this has said, it isn't necessary for the candidates to say we believe that global warming is"
