URL,MatchDateTime,Station,Show,IAShowID,IAPreviewThumb,Snippet
https://archive.org/details/BBCNEWS_20180325_010000_BBC_News#start/1552/end/1587,3/25/2018 1:26:07,BBCNEWS,BBC News,BBCNEWS_20180325_010000_BBC_News,https://archive.org/download/BBCNEWS_20180325_010000_BBC_News/BBCNEWS_20180325_010000_BBC_News.thumbs/BBCNEWS_20180325_010000_BBC_News_001527.jpg,"news. together to make a contribution to tackling climate change."
https://archive.org/details/BBCNEWS_20180308_210000_Outside_Source#start/2856/end/2891,3/8/2018 21:47:51,BBCNEWS,Outside Source,BBCNEWS_20180308_210000_Outside_Source,https://archive.org/download/BBCNEWS_20180308_210000_Outside_Source/BBCNEWS_20180308_210000_Outside_Source.thumbs/BBCNEWS_20180308_210000_Outside_Source_002848.jpg,"the structures we have in place as a society so climate change is affecting indigenous women and women of colour disproportionately to the rest of the population. reading your article you are seeing europe the paris climate change agreement"
https://archive.org/details/BBCNEWS_20180325_010000_BBC_News#start/89/end/124,3/25/2018 1:01:44,BBCNEWS,BBC News,BBCNEWS_20180325_010000_BBC_News,https://archive.org/download/BBCNEWS_20180325_010000_BBC_News/BBCNEWS_20180325_010000_BBC_News.thumbs/BBCNEWS_20180325_010000_BBC_News_000087.jpg,"is trying to stall efforts, to end the war with the taliban. as cities around the world call for action on climate change. hello and"
https://archive.org/details/BBCNEWS_20180313_130000_BBC_News_at_One#start/45/end/80,3/13/2018 13:01:00,BBCNEWS,BBC News at One,BBCNEWS_20180313_130000_BBC_News_at_One,https://archive.org/download/BBCNEWS_20180313_130000_BBC_News_at_One/BBCNEWS_20180313_130000_BBC_News_at_One.thumbs/BBCNEWS_20180313_130000_BBC_News_at_One_000057.jpg,"last quarter of 2017 and the government fails to address regional imbalances in investment. london will receive a five times more transport investment than yorkshire and humberside and the north. this is the government on climate change,"
https://archive.org/details/BBCNEWS_20180325_033000_Click#start/1700/end/1735,3/25/2018 3:58:35,BBCNEWS,Click,BBCNEWS_20180325_033000_Click,https://archive.org/download/BBCNEWS_20180325_033000_Click/BBCNEWS_20180325_033000_Click.thumbs/BBCNEWS_20180325_033000_Click_001707.jpg,"turn out the lights, as cities around the world call for action on climate change."
https://archive.org/details/BBCNEWS_20180329_130000_Afternoon_Live#start/4787/end/4822,3/29/2018 14:20:02,BBCNEWS,Afternoon Live,BBCNEWS_20180329_130000_Afternoon_Live,https://archive.org/download/BBCNEWS_20180329_130000_Afternoon_Live/BBCNEWS_20180329_130000_Afternoon_Live.thumbs/BBCNEWS_20180329_130000_Afternoon_Live_004767.jpg,"brexit? the big one is climate change, there are others, but the big one is climate change. we have had the government's report which admitted we won't hit our carbon targets and that is very alarming,"
https://archive.org/details/BBCNEWS_20180304_070000_Breakfast#start/1006/end/1041,3/4/2018 7:17:01,BBCNEWS,Breakfast,BBCNEWS_20180304_070000_Breakfast,https://archive.org/download/BBCNEWS_20180304_070000_Breakfast/BBCNEWS_20180304_070000_Breakfast.thumbs/BBCNEWS_20180304_070000_Breakfast_000987.jpg,"intervention where flood defences are one of those. there is a broad spectrum of things that need to be done and we are getting better at some of those. we need to be much more ambitious. we need to have an understanding of what the climate"
https://archive.org/details/BBCNEWS_20180330_190000_BBC_News#start/1719/end/1754,3/30/2018 19:28:54,BBCNEWS,BBC News,BBCNEWS_20180330_190000_BBC_News,https://archive.org/download/BBCNEWS_20180330_190000_BBC_News/BBCNEWS_20180330_190000_BBC_News.thumbs/BBCNEWS_20180330_190000_BBC_News_001707.jpg,"computer is the qubit and the magic here is it can be both one and zero at the same time. the switch can be both on and off. this supercharges any computer programme, making impossible problems easy to solve. we could find answers to climate"
https://archive.org/details/BBCNEWS_20180327_050000_Breakfast#start/8439/end/8474,3/27/2018 7:20:54,BBCNEWS,Breakfast,BBCNEWS_20180327_050000_Breakfast,https://archive.org/download/BBCNEWS_20180327_050000_Breakfast/BBCNEWS_20180327_050000_Breakfast.thumbs/BBCNEWS_20180327_050000_Breakfast_008427.jpg,"also need to have a robust dialogue with them on a number of world issues so, for example, climate change, they are taking a similar position to america in relation to not observing the paris climate change agreement, in relation to the deal they have with iran in relation"
https://archive.org/details/BBCNEWS_20180308_210000_Outside_Source#start/2748/end/2783,3/8/2018 21:46:03,BBCNEWS,Outside Source,BBCNEWS_20180308_210000_Outside_Source,https://archive.org/download/BBCNEWS_20180308_210000_Outside_Source/BBCNEWS_20180308_210000_Outside_Source.thumbs/BBCNEWS_20180308_210000_Outside_Source_002728.jpg,"shows that women are much more likely than men to be affected by climate change. for example, 80 percent of people displaced by climate change are women. here are two examples the un highlights. take chad, nomadic groups close to lake chad have had to move as 90 percent of it has disappeared."
https://archive.org/details/BBCNEWS_20180327_130000_Afternoon_Live#start/2003/end/2038,3/27/2018 13:33:38,BBCNEWS,Afternoon Live,BBCNEWS_20180327_130000_Afternoon_Live,https://archive.org/download/BBCNEWS_20180327_130000_Afternoon_Live/BBCNEWS_20180327_130000_Afternoon_Live.thumbs/BBCNEWS_20180327_130000_Afternoon_Live_002007.jpg,"to the sunlight. if you have the darker seas exposed, it absorbs more heat and that is one of the feedback processes we have with global warming. we know the arctic part of the planet is warming twice as"
https://archive.org/details/BBCNEWS_20180325_020000_BBC_News#start/1410/end/1445,3/25/2018 2:23:45,BBCNEWS,BBC News,BBCNEWS_20180325_020000_BBC_News,https://archive.org/download/BBCNEWS_20180325_020000_BBC_News/BBCNEWS_20180325_020000_BBC_News.thumbs/BBCNEWS_20180325_020000_BBC_News_001407.jpg,"of earth hour. this year's theme, let nature shine, focuses on how climate change damages the world around us."
https://archive.org/details/BBCNEWS_20180313_190000_Beyond_100_Days#start/863/end/898,3/13/2018 19:14:38,BBCNEWS,Beyond 100 Days,BBCNEWS_20180313_190000_Beyond_100_Days,https://archive.org/download/BBCNEWS_20180313_190000_Beyond_100_Days/BBCNEWS_20180313_190000_Beyond_100_Days.thumbs/BBCNEWS_20180313_190000_Beyond_100_Days_001677.jpg,"between the white house and the very democratic state. policies, on everything from climate change to immigration. immigrants are unconstitutional."
https://archive.org/details/BBCNEWS_20180313_190000_Beyond_100_Days#start/1419/end/1454,3/13/2018 19:23:54,BBCNEWS,Beyond 100 Days,BBCNEWS_20180313_190000_Beyond_100_Days,https://archive.org/download/BBCNEWS_20180313_190000_Beyond_100_Days/BBCNEWS_20180313_190000_Beyond_100_Days.thumbs/BBCNEWS_20180313_190000_Beyond_100_Days_001677.jpg,"but this time it's not due to climate change. of huge chunks of ice falling off the glacier every few years. let's take"
https://archive.org/details/BBCNEWS_20180305_083000_BBC_Business_Live#start/709/end/744,3/5/2018 8:42:04,BBCNEWS,BBC Business Live,BBCNEWS_20180305_083000_BBC_Business_Live,https://archive.org/download/BBCNEWS_20180305_083000_BBC_Business_Live/BBCNEWS_20180305_083000_BBC_Business_Live.thumbs/BBCNEWS_20180305_083000_BBC_Business_Live_000687.jpg,"achieve its commitments to global warming targets. it means for every bit of gdp that is achieved, more renewable energies and less fossil fuel. thank you for that update. let's ta ke fuel. thank you for that update. let's take a look at the wider financial markets. the nikkei has fallen"
