URL,MatchDateTime,Station,Show,IAShowID,IAPreviewThumb,Snippet
https://archive.org/details/CNNW_20150322_180000_CNN_Newsroom_With_Poppy_Harlow#start/10999/end/11034,3/22/2015 21:03:34,CNN,CNN Newsroom With Poppy Harlow,CNNW_20150322_180000_CNN_Newsroom_With_Poppy_Harlow,https://archive.org/download/CNNW_20150322_180000_CNN_Newsroom_With_Poppy_Harlow/CNNW_20150322_180000_CNN_Newsroom_With_Poppy_Harlow.thumbs/CNNW_20150322_180000_CNN_Newsroom_With_Poppy_Harlow_010996.jpg,"made change but also be shown how to be false. wait are you saying -- hold on. what the costs are associated -- are you saying the science is not behind climate change. no the climb is changing -- are you saying that science is not behind global warming."
https://archive.org/details/CNNW_20150314_140000_CNN_Newsroom#start/305/end/340,3/14/2015 14:05:20,CNN,CNN Newsroom,CNNW_20150314_140000_CNN_Newsroom,https://archive.org/download/CNNW_20150314_140000_CNN_Newsroom/CNNW_20150314_140000_CNN_Newsroom.thumbs/CNNW_20150314_140000_CNN_Newsroom_000285.jpg,"watch. there is an alarming number of americans who are skeptical it's even happening and that island nations see this as an easy way to get extra money. what is the reality when it comes to climate change for an"
https://archive.org/details/CNNW_20150309_140000_CNN_Newsroom_With_Carol_Costello#start/2215/end/2250,3/9/2015 14:37:10,CNN,CNN Newsroom With Carol Costello,CNNW_20150309_140000_CNN_Newsroom_With_Carol_Costello,https://archive.org/download/CNNW_20150309_140000_CNN_Newsroom_With_Carol_Costello/CNNW_20150309_140000_CNN_Newsroom_With_Carol_Costello.thumbs/CNNW_20150309_140000_CNN_Newsroom_With_Carol_Costello_002205.jpg,"climate change and global warming in e-mails reporting or any other official communication. the florida center for investigative reporting says the unwritten policy went into effect after governor rick scott went into office in 2011."
https://archive.org/details/CNNW_20150322_090000_CNNI_Simulcast#start/1606/end/1641,3/22/2015 9:27:01,CNN,CNNI Simulcast,CNNW_20150322_090000_CNNI_Simulcast,https://archive.org/download/CNNW_20150322_090000_CNNI_Simulcast/CNNW_20150322_090000_CNNI_Simulcast.thumbs/CNNW_20150322_090000_CNNI_Simulcast_001605.jpg,"so something we're going to be monitoring going forward. just a brief sign there of global climate change and global warming as well. isa? you're running a marathon after doing this shift, is that right? running a marathon after i do"
https://archive.org/details/CNNW_20150323_100000_New_Day#start/1438/end/1473,3/23/2015 10:24:13,CNN,New Day,CNNW_20150323_100000_New_Day,https://archive.org/download/CNNW_20150323_100000_New_Day/CNNW_20150323_100000_New_Day.thumbs/CNNW_20150323_100000_New_Day_001425.jpg,"science doesn't back them up. my 9-year-old knows from 3rd grade science just because it's cold doesn't mean there is no global warming. dershowitz says he is the"
https://archive.org/details/CNNW_20150322_180000_CNN_Newsroom_With_Poppy_Harlow#start/10981/end/11016,3/22/2015 21:03:16,CNN,CNN Newsroom With Poppy Harlow,CNNW_20150322_180000_CNN_Newsroom_With_Poppy_Harlow,https://archive.org/download/CNNW_20150322_180000_CNN_Newsroom_With_Poppy_Harlow/CNNW_20150322_180000_CNN_Newsroom_With_Poppy_Harlow.thumbs/CNNW_20150322_180000_CNN_Newsroom_With_Poppy_Harlow_010966.jpg,"elf of global warming. today california's governor jerry brown came out and pointed at those comments saying that makes him unfit for office. as people see a lot of the pribz"
https://archive.org/details/CNNW_20150320_210000_The_Situation_Room#start/6906/end/6941,3/20/2015 22:55:21,CNN,The Situation Room,CNNW_20150320_210000_The_Situation_Room,https://archive.org/download/CNNW_20150320_210000_The_Situation_Room/CNNW_20150320_210000_The_Situation_Room.thumbs/CNNW_20150320_210000_The_Situation_Room_006886.jpg,"he's heading to iowa in may to fire up the activists about global warming. is that -- al gore. possible that al gore might think about running against hillary clinton. i don't think al gore has"
https://archive.org/details/CNNW_20150320_210000_The_Situation_Room#start/6970/end/7005,3/20/2015 22:56:25,CNN,The Situation Room,CNNW_20150320_210000_The_Situation_Room,https://archive.org/download/CNNW_20150320_210000_The_Situation_Room/CNNW_20150320_210000_The_Situation_Room.thumbs/CNNW_20150320_210000_The_Situation_Room_006946.jpg,"conference to support him on his global warming effort. a friend said he's enjoying the speculation giving interviews but i'm with gloria i don't think we'll get a gore. you also mentioned john kerry's name. he hasn't ruled it out."
https://archive.org/details/CNNW_20150324_000000_Anderson_Cooper_360#start/3963/end/3998,3/24/2015 1:06:18,CNN,Anderson Cooper 360,CNNW_20150324_000000_Anderson_Cooper_360,https://archive.org/download/CNNW_20150324_000000_Anderson_Cooper_360/CNNW_20150324_000000_Anderson_Cooper_360.thumbs/CNNW_20150324_000000_Anderson_Cooper_360_003945.jpg,"senator cruz made the announcement at liberty university. he vowed to repeal every single word of the affordable care act, 3r078 sing to abolish the irs, and mocking the notion of global warming. it's the kind of mix that wins"
https://archive.org/details/CNNW_20150323_230000_Erin_Burnett_OutFront#start/2434/end/2469,3/23/2015 23:40:49,CNN,Erin Burnett OutFront,CNNW_20150323_230000_Erin_Burnett_OutFront,https://archive.org/download/CNNW_20150323_230000_Erin_Burnett_OutFront/CNNW_20150323_230000_Erin_Burnett_OutFront.thumbs/CNNW_20150323_230000_Erin_Burnett_OutFront_002416.jpg,"hampshire where there's snow and ice everywhere. my view actually is simple. debates on this should follow science and should follow data. and many of the alarmists on global warming, they've got a problem because the science doesn't back them up."
https://archive.org/details/CNNW_20150320_200000_The_Lead_With_Jake_Tapper#start/2306/end/2341,3/20/2015 20:38:41,CNN,The Lead With Jake Tapper,CNNW_20150320_200000_The_Lead_With_Jake_Tapper,https://archive.org/download/CNNW_20150320_200000_The_Lead_With_Jake_Tapper/CNNW_20150320_200000_The_Lead_With_Jake_Tapper.thumbs/CNNW_20150320_200000_The_Lead_With_Jake_Tapper_002295.jpg,"a competition. he's heading to iowa in may to fire up activists about global warming. there's a lot of chatter recently in some democratic circles about a gore return but i'm told by a person close to the former vice president he has"
