URL,MatchDateTime,Station,Show,IAShowID,IAPreviewThumb,Snippet
https://archive.org/details/MSNBCW_20180606_160000_Andrea_Mitchell_Reports#start/1678/end/1713,6/6/2018 16:28:13,MSNBC,Andrea Mitchell Reports,MSNBCW_20180606_160000_Andrea_Mitchell_Reports,https://archive.org/download/MSNBCW_20180606_160000_Andrea_Mitchell_Reports/MSNBCW_20180606_160000_Andrea_Mitchell_Reports.thumbs/MSNBCW_20180606_160000_Andrea_Mitchell_Reports_001017.jpg,"from them and we're the natural leader of the western alliance but we're not acting like it because on climate change, iran,"
https://archive.org/details/MSNBCW_20180603_230000_Kasie_DC#start/7066/end/7101,6/4/2018 0:58:01,MSNBC,Kasie DC,MSNBCW_20180603_230000_Kasie_DC,https://archive.org/download/MSNBCW_20180603_230000_Kasie_DC/MSNBCW_20180603_230000_Kasie_DC.thumbs/MSNBCW_20180603_230000_Kasie_DC_007047.jpg,"californians are leading against donald trump. our senator should, too. kevin de león is the only candidate for senate who passed laws protecting immigrants from trump. and helped dreamers stay in school. he led bold action against climate change."
https://archive.org/details/MSNBCW_20180603_190000_MSNBC_Live_With_David_Gura#start/14/end/49,6/3/2018 19:00:29,MSNBC,MSNBC Live With David Gura,MSNBCW_20180603_190000_MSNBC_Live_With_David_Gura,https://archive.org/download/MSNBCW_20180603_190000_MSNBC_Live_With_David_Gura/MSNBCW_20180603_190000_MSNBC_Live_With_David_Gura.thumbs/MSNBCW_20180603_190000_MSNBC_Live_With_David_Gura_000057.jpg,"californians are leading against donald trump. our senator should, too. kevin de león is the only candidate for senate who passed laws protecting immigrants from trump. and helped dreamers stay in school. he led bold action against climate change."
https://archive.org/details/MSNBCW_20180603_220000_Meet_the_Press#start/2029/end/2064,6/3/2018 22:34:04,MSNBC,Meet the Press,MSNBCW_20180603_220000_Meet_the_Press,https://archive.org/download/MSNBCW_20180603_220000_Meet_the_Press/MSNBCW_20180603_220000_Meet_the_Press.thumbs/MSNBCW_20180603_220000_Meet_the_Press_002007.jpg,"californians are leading against donald trump. our senator should, too. kevin de león is the only candidate for senate who passed laws protecting immigrants from trump. and helped dreamers stay in school. he led bold action against climate change."
https://archive.org/details/MSNBCW_20180601_040000_The_Rachel_Maddow_Show#start/2350/end/2385,6/1/2018 4:39:25,MSNBC,The Rachel Maddow Show,MSNBCW_20180601_040000_The_Rachel_Maddow_Show,https://archive.org/download/MSNBCW_20180601_040000_The_Rachel_Maddow_Show/MSNBCW_20180601_040000_The_Rachel_Maddow_Show.thumbs/MSNBCW_20180601_040000_The_Rachel_Maddow_Show_002338.jpg,"californians are leading against donald trump. our senator should, too. kevin de león is the only candidate for senate who passed laws protecting immigrants from trump. and helped dreamers stay in school. he led bold action against climate change."
https://archive.org/details/MSNBCW_20180620_090000_First_Look#start/3408/end/3443,6/20/2018 9:57:03,MSNBC,First Look,MSNBCW_20180620_090000_First_Look,https://archive.org/download/MSNBCW_20180620_090000_First_Look/MSNBCW_20180620_090000_First_Look.thumbs/MSNBCW_20180620_090000_First_Look_003388.jpg,"anyone close to her. the first we learned was from sources in the room last night. it doesn't surprise me she does do this on just about every issue. where she feels passionate about it sheaf done it on the syria strikes last year, climate"
https://archive.org/details/MSNBCW_20180601_100000_Morning_Joe#start/14/end/49,6/1/2018 10:00:29,MSNBC,Morning Joe,MSNBCW_20180601_100000_Morning_Joe,https://archive.org/download/MSNBCW_20180601_100000_Morning_Joe/MSNBCW_20180601_100000_Morning_Joe.thumbs/MSNBCW_20180601_100000_Morning_Joe_000058.jpg,"climate change. we know the pope had taken the environment and climate change on for a number of years, we know this is sort of been his big issue, his major issue. but how much of a factor is the fact that the president decided to pull out of the paris climate accord, being taken into the"
https://archive.org/details/MSNBCW_20180601_090000_First_Look#start/3611/end/3646,6/1/2018 10:00:26,MSNBC,First Look,MSNBCW_20180601_090000_First_Look,https://archive.org/download/MSNBCW_20180601_090000_First_Look/MSNBCW_20180601_090000_First_Look.thumbs/MSNBCW_20180601_090000_First_Look_003597.jpg,"way, shows that the way that the conversation is moving on climate change. we know the pope had taken the environment and climate change on for a number of years, we know this is sort of been his big issue, his major issue. but how much of a factor is the fact that the president decided"
https://archive.org/details/MSNBCW_20180605_190000_MSNBC_Live_With_Ali_Velshi#start/3220/end/3255,6/5/2018 19:53:55,MSNBC,MSNBC Live With Ali Velshi,MSNBCW_20180605_190000_MSNBC_Live_With_Ali_Velshi,https://archive.org/download/MSNBCW_20180605_190000_MSNBC_Live_With_Ali_Velshi/MSNBCW_20180605_190000_MSNBC_Live_With_Ali_Velshi.thumbs/MSNBCW_20180605_190000_MSNBC_Live_With_Ali_Velshi_003208.jpg,"should we be taking steps to preserve coal fired electricity in this country? i don't think so. the reason is, of course, global warming and the risk of drastic changes to our entire environment as a result. and as your statistic noted,"
https://archive.org/details/MSNBCW_20180630_200000_MSNBC_Live#start/147/end/182,6/30/2018 20:02:42,MSNBC,MSNBC Live,MSNBCW_20180630_200000_MSNBC_Live,https://archive.org/download/MSNBCW_20180630_200000_MSNBC_Live/MSNBCW_20180630_200000_MSNBC_Live.thumbs/MSNBCW_20180630_200000_MSNBC_Live_000147.jpg,"cause, climate change, parenthood? we had a lot of regulars, social justice groups organizing this. a lot of no justice, no peace."
https://archive.org/details/MSNBCW_20180609_140000_AM_Joy#start/74/end/109,6/9/2018 14:01:29,MSNBC,AM Joy,MSNBCW_20180609_140000_AM_Joy,https://archive.org/download/MSNBCW_20180609_140000_AM_Joy/MSNBCW_20180609_140000_AM_Joy.thumbs/MSNBCW_20180609_140000_AM_Joy_000057.jpg,"the u.s. becomes increasingly isolated from everything from climate change to trade. trump just recently imposed steep tariff on imports from the european union, canada and"
https://archive.org/details/MSNBCW_20180609_220000_All_In_With_Chris_Hayes#start/1202/end/1237,6/9/2018 22:20:17,MSNBC,All In With Chris Hayes,MSNBCW_20180609_220000_All_In_With_Chris_Hayes,https://archive.org/download/MSNBCW_20180609_220000_All_In_With_Chris_Hayes/MSNBCW_20180609_220000_All_In_With_Chris_Hayes.thumbs/MSNBCW_20180609_220000_All_In_With_Chris_Hayes_001197.jpg,"he has apparently grown tired with theresa may's school mistress tone. the president will leave quebec tomorrow morning before scheduled sessions on climate change. a fact that may not mind tbothe"
https://archive.org/details/MSNBCW_20180606_180000_MSNBC_Live_With_Katy_Tur#start/2080/end/2115,6/6/2018 18:34:55,MSNBC,MSNBC Live With Katy Tur,MSNBCW_20180606_180000_MSNBC_Live_With_Katy_Tur,https://archive.org/download/MSNBCW_20180606_180000_MSNBC_Live_With_Katy_Tur/MSNBCW_20180606_180000_MSNBC_Live_With_Katy_Tur.thumbs/MSNBCW_20180606_180000_MSNBC_Live_With_Katy_Tur_002067.jpg,"become a good president. those are her words. not my words specifically. climate change, the vironment, immigration reform, these are issues that are p state like california. but not just in california but"
https://archive.org/details/MSNBCW_20180608_150000_MSNBC_Live_With_Velshi_and_Ruhle#start/3611/end/3646,6/8/2018 16:00:26,MSNBC,MSNBC Live With Velshi and Ruhle,MSNBCW_20180608_150000_MSNBC_Live_With_Velshi_and_Ruhle,https://archive.org/download/MSNBCW_20180608_150000_MSNBC_Live_With_Velshi_and_Ruhle/MSNBCW_20180608_150000_MSNBC_Live_With_Velshi_and_Ruhle.thumbs/MSNBCW_20180608_150000_MSNBC_Live_With_Velshi_and_Ruhle_003597.jpg,"not staying for the joint statement or talks on the environment or climate change. we are not going to live with the deals the way they are. european union treats us unfairly. canada, unfairly."
https://archive.org/details/MSNBCW_20180603_220000_Meet_the_Press#start/3001/end/3036,6/3/2018 22:50:16,MSNBC,Meet the Press,MSNBCW_20180603_220000_Meet_the_Press,https://archive.org/download/MSNBCW_20180603_220000_Meet_the_Press/MSNBCW_20180603_220000_Meet_the_Press.thumbs/MSNBCW_20180603_220000_Meet_the_Press_002997.jpg,"who passed laws protecting immigrants from trump. and helped dreamers stay in school. he led bold action against climate change. and only de león fought for universal, medicare for all. democrat kevin de león thonlyruprogressive"
https://archive.org/details/MSNBCW_20180601_150000_MSNBC_Live_With_Velshi_and_Ruhle#start/3480/end/3515,6/1/2018 15:58:15,MSNBC,MSNBC Live With Velshi and Ruhle,MSNBCW_20180601_150000_MSNBC_Live_With_Velshi_and_Ruhle,https://archive.org/download/MSNBCW_20180601_150000_MSNBC_Live_With_Velshi_and_Ruhle/MSNBCW_20180601_150000_MSNBC_Live_With_Velshi_and_Ruhle.thumbs/MSNBCW_20180601_150000_MSNBC_Live_With_Velshi_and_Ruhle_003478.jpg,"who passed laws protecting immigrants from trump. and helped dreamers stay in school. he led bold action against climate change. and only de león fought for universal, medicare for all. democrat kevin de león the only true progressive"
https://archive.org/details/MSNBCW_20180609_030000_The_11th_Hour_With_Brian_Williams#start/1486/end/1521,6/9/2018 3:25:01,MSNBC,The 11th Hour With Brian Williams,MSNBCW_20180609_030000_The_11th_Hour_With_Brian_Williams,https://archive.org/download/MSNBCW_20180609_030000_The_11th_Hour_With_Brian_Williams/MSNBCW_20180609_030000_The_11th_Hour_With_Brian_Williams.thumbs/MSNBCW_20180609_030000_The_11th_Hour_With_Brian_Williams_001467.jpg,"leaves early for singapore. and, oh, look at the time. the event he's missing is about climate change, correct? he is. you know, the president came late to this meeting. he's leaving early. he insulted the hosts and"
https://archive.org/details/MSNBCW_20180605_050000_The_Last_Word_With_Lawrence_ODonnell#start/1989/end/2024,6/5/2018 5:33:24,MSNBC,The Last Word With Lawrence ODonnell,MSNBCW_20180605_050000_The_Last_Word_With_Lawrence_ODonnell,https://archive.org/download/MSNBCW_20180605_050000_The_Last_Word_With_Lawrence_ODonnell/MSNBCW_20180605_050000_The_Last_Word_With_Lawrence_ODonnell.thumbs/MSNBCW_20180605_050000_The_Last_Word_With_Lawrence_ODonnell_001977.jpg,"he led bold action against climate change. and only de león fought for universal, medicare for all. democrat kevin de león the only true progressive for senate. change california now is responsible for the content of this advertising."
https://archive.org/details/MSNBCW_20180605_000000_All_In_With_Chris_Hayes#start/3135/end/3170,6/5/2018 0:52:30,MSNBC,All In With Chris Hayes,MSNBCW_20180605_000000_All_In_With_Chris_Hayes,https://archive.org/download/MSNBCW_20180605_000000_All_In_With_Chris_Hayes/MSNBCW_20180605_000000_All_In_With_Chris_Hayes.thumbs/MSNBCW_20180605_000000_All_In_With_Chris_Hayes_003117.jpg,"who passed laws protecting immigrants from trump. and helped dreamers stay in school. he led bold action against climate change. and only de león fought for universal, medicare for all. democrat kevin de león the only true progressive"
https://archive.org/details/MSNBCW_20180604_210000_MTP_Daily#start/2228/end/2263,6/4/2018 21:37:23,MSNBC,MTP Daily,MSNBCW_20180604_210000_MTP_Daily,https://archive.org/download/MSNBCW_20180604_210000_MTP_Daily/MSNBCW_20180604_210000_MTP_Daily.thumbs/MSNBCW_20180604_210000_MTP_Daily_002218.jpg,"who passed laws protecting immigrants from trump. and helped dreamers stay in school. he led bold action against climate change. and only de león fought for universal, medicare for all. democrat kevin de león the only true progressive"
https://archive.org/details/MSNBCW_20180603_140000_AM_Joy#start/1897/end/1932,6/3/2018 14:31:52,MSNBC,AM Joy,MSNBCW_20180603_140000_AM_Joy,https://archive.org/download/MSNBCW_20180603_140000_AM_Joy/MSNBCW_20180603_140000_AM_Joy.thumbs/MSNBCW_20180603_140000_AM_Joy_001887.jpg,"kevin de león is the only candidate for senate who passed laws protecting immigrants from trump. and helped dreamers stay in school. he led bold action against climate change. and only de león fought for universal, medicare for all."
https://archive.org/details/MSNBCW_20180602_210000_MSNBC_Live#start/0/end/34,6/2/2018 21:00:14,MSNBC,MSNBC Live,MSNBCW_20180602_210000_MSNBC_Live,https://archive.org/download/MSNBCW_20180602_210000_MSNBC_Live/MSNBCW_20180602_210000_MSNBC_Live.thumbs/MSNBCW_20180602_210000_MSNBC_Live_000057.jpg,"too. kevin de león is the only candidate for senate who passed laws protecting immigrants from trump. and helped dreamers stay in school. he led bold action against climate change. and only de león fought for universal,"
https://archive.org/details/MSNBCW_20180603_200000_MSNBC_Live_With_Yasmin_Vossoughian#start/1518/end/1553,6/3/2018 20:25:33,MSNBC,MSNBC Live With Yasmin Vossoughian,MSNBCW_20180603_200000_MSNBC_Live_With_Yasmin_Vossoughian,https://archive.org/download/MSNBCW_20180603_200000_MSNBC_Live_With_Yasmin_Vossoughian/MSNBCW_20180603_200000_MSNBC_Live_With_Yasmin_Vossoughian.thumbs/MSNBCW_20180603_200000_MSNBC_Live_With_Yasmin_Vossoughian_001497.jpg,"who passed laws protecting immigrants from trump. and helped dreamers stay in school. he led bold action against climate change. and only de león fought for universal, medicare for all. democrat kevin de león the only true progressive"
https://archive.org/details/MSNBCW_20180603_180000_MSNBC_Live_With_David_Gura#start/3619/end/3654,6/3/2018 19:00:34,MSNBC,MSNBC Live With David Gura,MSNBCW_20180603_180000_MSNBC_Live_With_David_Gura,https://archive.org/download/MSNBCW_20180603_180000_MSNBC_Live_With_David_Gura/MSNBCW_20180603_180000_MSNBC_Live_With_David_Gura.thumbs/MSNBCW_20180603_180000_MSNBC_Live_With_David_Gura_003597.jpg,"kevin de león is the only candidate for senate who passed laws protecting immigrants from trump. and helped dreamers stay in school. he led bold action against climate change. and only de león fought for universal, medicare for all."
https://archive.org/details/MSNBCW_20180603_010000_The_11th_Hour_With_Brian_Williams#start/2004/end/2039,6/3/2018 1:33:39,MSNBC,The 11th Hour With Brian Williams,MSNBCW_20180603_010000_The_11th_Hour_With_Brian_Williams,https://archive.org/download/MSNBCW_20180603_010000_The_11th_Hour_With_Brian_Williams/MSNBCW_20180603_010000_The_11th_Hour_With_Brian_Williams.thumbs/MSNBCW_20180603_010000_The_11th_Hour_With_Brian_Williams_001978.jpg,"kevin de león is the only candidate for senate who passed laws protecting immigrants from trump. and helped dreamers stay in school. he led bold action against climate change. and only de león fought for universal, medicare for all."
https://archive.org/details/MSNBCW_20180602_140000_AM_Joy#start/5646/end/5681,6/2/2018 15:34:21,MSNBC,AM Joy,MSNBCW_20180602_140000_AM_Joy,https://archive.org/download/MSNBCW_20180602_140000_AM_Joy/MSNBCW_20180602_140000_AM_Joy.thumbs/MSNBCW_20180602_140000_AM_Joy_005637.jpg,"and helped dreamers stay in school. he led bold action against climate change. and only de león fought for universal, medicare for all. democrat kevin de león the only true progressive for senate. change california now"
https://archive.org/details/MSNBCW_20180602_190000_MSNBC_Live_With_David_Gura#start/2130/end/2165,6/2/2018 19:35:45,MSNBC,MSNBC Live With David Gura,MSNBCW_20180602_190000_MSNBC_Live_With_David_Gura,https://archive.org/download/MSNBCW_20180602_190000_MSNBC_Live_With_David_Gura/MSNBCW_20180602_190000_MSNBC_Live_With_David_Gura.thumbs/MSNBCW_20180602_190000_MSNBC_Live_With_David_Gura_002127.jpg,"and helped dreamers stay in school. he led bold action against climate change. and only de león fought for universal, medicare for all. democrat kevin de león the only true progressive for senate. change california now"
https://archive.org/details/MSNBCW_20180602_180000_MSNBC_Live_With_David_Gura#start/1744/end/1779,6/2/2018 18:29:19,MSNBC,MSNBC Live With David Gura,MSNBCW_20180602_180000_MSNBC_Live_With_David_Gura,https://archive.org/download/MSNBCW_20180602_180000_MSNBC_Live_With_David_Gura/MSNBCW_20180602_180000_MSNBC_Live_With_David_Gura.thumbs/MSNBCW_20180602_180000_MSNBC_Live_With_David_Gura_001738.jpg,"kevin de león is the only candidate for senate who passed laws protecting immigrants from trump. and helped dreamers stay in school. he led bold action against climate change. and only de león fought for universal, medicare for all."
https://archive.org/details/MSNBCW_20180602_060000_The_11th_Hour_With_Brian_Williams#start/1991/end/2026,6/2/2018 6:33:26,MSNBC,The 11th Hour With Brian Williams,MSNBCW_20180602_060000_The_11th_Hour_With_Brian_Williams,https://archive.org/download/MSNBCW_20180602_060000_The_11th_Hour_With_Brian_Williams/MSNBCW_20180602_060000_The_11th_Hour_With_Brian_Williams.thumbs/MSNBCW_20180602_060000_The_11th_Hour_With_Brian_Williams_001978.jpg,"who passed laws protecting immigrants from trump. and helped dreamers stay in school. he led bold action against climate change. and only de león fought for universal, medicare for all. democrat kevin de león the only true progressive"
